family,lane,api,stage_or_mode,source_format,current_status,source_path,runner_hint,evidence_target,next_step
vliw_packing_vec4,legacy_glsl,OpenGL,fragment,GLSL,imported,probes/r600/legacy_glsl/vliw5_vec4.frag,shader_runner_or_gl_harness,4-slot vec bundle occupancy,extend with packed subword arithmetic
vliw_packing_mixed,legacy_glsl,OpenGL,fragment,GLSL,imported,probes/r600/legacy_glsl/vliw5_mixed_vec4_trans.frag,shader_runner_or_gl_harness,vec plus trans mixed-issue fastpaths,map short-chain and long-chain best cases
shader_runner_correctness,shader_runner,OpenGL,piglit_shader_runner,shader_test,imported,probes/r600/shader_tests/latency_add_ieee.shader_test,piglit shader_runner,correctness plus ISA capture per probe,normalize into manifest-backed run bundle
vulkan_instance_device,wsi_runtime,Vulkan,instance_device,command,active,build-terakan-distcc ICD via x130e,vulkaninfo,device enumeration and extension floor,keep as phase-0 smoke gate
vulkan_wsi_x11,wsi_runtime,Vulkan,xlib_surface,command,blocked_by_dri3,x130e runtime smoke via vkcube,vkcube --wsi xlib,DRI3/X11 presentation viability,fix DRI3 path and re-run
vulkan_display_kms,wsi_runtime,Vulkan,display_surface,command,blocked_by_extension,x130e runtime smoke via vkcube,vkcube --wsi display,VK_KHR_display capability and direct display path,implement or classify hard stop
vulkan_compute_depchain,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/depchain_add.comp,glslangvalidator_or_spirv_toolchain,compute-lane dependent-chain latency,build a minimal Vulkan compute harness
vulkan_compute_mul,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/depchain_mul.comp,glslangvalidator_or_spirv_toolchain,compute multiply latency and scoreboard behavior,compile to SPIR-V and capture first disassembly
vulkan_compute_u8,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/depchain_u8_add.comp,glslangvalidator_or_spirv_toolchain,masked unsigned 8-bit integer baseline and legalization cost,compare against packed byte and 24-bit paths
vulkan_compute_i8,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/depchain_i8_add.comp,glslangvalidator_or_spirv_toolchain,masked signed 8-bit integer baseline and sign-extension cost,compare against packed signed byte and 24-bit paths
vulkan_compute_u16,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/depchain_u16_add.comp,glslangvalidator_or_spirv_toolchain,masked unsigned 16-bit integer baseline and legalization cost,compare against 32-bit and packed byte paths
vulkan_compute_i16,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/depchain_i16_add.comp,glslangvalidator_or_spirv_toolchain,masked signed 16-bit integer baseline and sign-extension cost,compare against 32-bit and 24-bit lanes
vulkan_compute_u32,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/depchain_u32_add.comp,glslangvalidator_or_spirv_toolchain,plain unsigned 32-bit integer baseline,anchor 24-bit and packed comparisons
vulkan_compute_i32,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/depchain_i32_add.comp,glslangvalidator_or_spirv_toolchain,plain signed 32-bit integer baseline,anchor sign-sensitive comparisons
vulkan_compute_u64,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/depchain_u64_add.comp,glslangvalidator_or_spirv_toolchain,64-bit unsigned integer legalization and extension floor,classify wide-integer runtime limits
vulkan_compute_i64,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/depchain_i64_add.comp,glslangvalidator_or_spirv_toolchain,64-bit signed integer legalization and extension floor,classify wide-integer runtime limits
vulkan_compute_uint24,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/depchain_uint24_mul.comp,glslangvalidator_or_spirv_toolchain,24-bit unsigned dependent-chain behavior and masked lowering,compare against OpenCL mul24 native path
vulkan_compute_int24,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/depchain_int24_mul.comp,glslangvalidator_or_spirv_toolchain,24-bit signed dependent-chain behavior and sign-extension cost,compare against OpenCL mad24 signed path
vulkan_compute_vec4,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/throughput_vec4_fma.comp,glslangvalidator_or_spirv_toolchain,packed vec throughput and register pressure,measure bundle utilization analogs
vulkan_compute_uvec4,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/throughput_uvec4_mad24.comp,glslangvalidator_or_spirv_toolchain,regular unsigned vec4 integer throughput,compare against packed byte lanes
vulkan_compute_ivec4,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/throughput_ivec4_mad24.comp,glslangvalidator_or_spirv_toolchain,regular signed vec4 integer throughput,compare against packed signed byte lanes
vulkan_compute_u8_packed,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/throughput_u8_packed_mad.comp,glslangvalidator_or_spirv_toolchain,packed unsigned byte unpack-repack path and ALU pressure,map UBYTE-like fast paths and packing costs
vulkan_compute_i8_packed,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/throughput_i8_packed_mad.comp,glslangvalidator_or_spirv_toolchain,packed signed byte unpack-repack path and saturation behavior,map signed packing boundaries and short chains
vulkan_compute_occupancy_gpr,vulkan_compute,Vulkan,compute,GLSL,seeded,probes/r600/vulkan_compute/occupancy_gpr_04.comp,glslangvalidator_or_spirv_toolchain,register-pressure and occupancy staircase across explicit live-value counts,map the knee where VLIW fill turns into occupancy loss
vulkan_compute_typed,compute_lane,Vulkan,compute,GLSL_or_SPIRV,planned,probes/r600/vulkan_compute/,future compute runner,typed arithmetic and packing sweeps,seed GLSL/SPIR-V compute kernels
opencl_depchain,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/depchain_add.cl,clinfo_or_custom_harness,OpenCL dependent-chain latency,build a tiny enqueue-and-readback harness
opencl_mul,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/depchain_mul.cl,clinfo_or_custom_harness,OpenCL multiply latency and pressure,compare Rusticl behavior with Vulkan compute
opencl_u8,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/depchain_u8_add.cl,clinfo_or_custom_harness,plain unsigned 8-bit integer baseline and promotion cost,compare against packed byte and 24-bit lanes
opencl_i8,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/depchain_i8_add.cl,clinfo_or_custom_harness,plain signed 8-bit integer baseline and sign-extension cost,compare against packed signed byte and 24-bit lanes
opencl_u16,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/depchain_u16_add.cl,clinfo_or_custom_harness,plain unsigned 16-bit integer baseline and promotion cost,compare against 32-bit and packed byte paths
opencl_i16,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/depchain_i16_add.cl,clinfo_or_custom_harness,plain signed 16-bit integer baseline and sign-extension cost,compare against 32-bit and 24-bit lanes
opencl_u32,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/depchain_u32_add.cl,clinfo_or_custom_harness,plain unsigned 32-bit integer baseline,anchor 24-bit and packed comparisons
opencl_i32,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/depchain_i32_add.cl,clinfo_or_custom_harness,plain signed 32-bit integer baseline,anchor sign-sensitive comparisons
opencl_u64,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/depchain_u64_add.cl,clinfo_or_custom_harness,plain unsigned 64-bit integer legalization and pressure path,classify wide-integer lowering costs
opencl_i64,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/depchain_i64_add.cl,clinfo_or_custom_harness,plain signed 64-bit integer legalization and pressure path,classify wide-integer lowering costs
opencl_uint24,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/depchain_uint24_mul.cl,clinfo_or_custom_harness,native 24-bit unsigned mul24 and mad24 behavior,measure real UINT24 lowering and latency
opencl_int24,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/depchain_int24_mul.cl,clinfo_or_custom_harness,native 24-bit signed mad24 behavior and sign-extension cost,compare against Vulkan masked arithmetic
opencl_vec4,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/throughput_vec4_mad.cl,clinfo_or_custom_harness,vector MAD throughput and packing boundaries,add integer and local-memory kernels
opencl_uvec4,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/throughput_uvec4_mad24.cl,clinfo_or_custom_harness,regular unsigned vec4 24-bit throughput,compare against packed byte lanes and existing float vec4
opencl_ivec4,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/throughput_ivec4_mad24.cl,clinfo_or_custom_harness,regular signed vec4 24-bit throughput,measure signed-lane stability and lowering
opencl_u8_packed,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/throughput_u8_packed_mad.cl,clinfo_or_custom_harness,packed unsigned byte unpack-repack throughput,track UBYTE_FLT-class lane costs and wins
opencl_i8_packed,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/throughput_i8_packed_mad.cl,clinfo_or_custom_harness,packed signed byte unpack-repack throughput and saturation,compare signed packing against scalar and vec4 forms
opencl_occupancy_gpr,opencl,OpenCL,kernel,OpenCL_C,seeded,probes/r600/opencl/occupancy_gpr_04.cl,clinfo_or_custom_harness,register-pressure and occupancy staircase across explicit live-value counts,map the knee where VLIW fill turns into occupancy loss
opencl_typed,compute_lane,OpenCL,kernel,OpenCL_C,planned,probes/r600/opencl/,clinfo clpeak and custom kernels,OpenCL 1.0-1.2 arithmetic and memory boundaries,seed kernel templates and runtime harness
opengl_compute_depchain,opengl_compute,OpenGL,compute,GLSL,seeded,probes/r600/opengl_compute/depchain_add.comp,gl_compute_harness,GL compute dependent-chain latency,confirm capability exposure before running
opengl_compute_mul,opengl_compute,OpenGL,compute,GLSL,seeded,probes/r600/opengl_compute/depchain_mul.comp,gl_compute_harness,GL compute multiply latency and pressure,decide if the lane is real or taxonomy-only
opengl_compute_typed,compute_lane,OpenGL,compute,GLSL,planned,probes/r600/opengl_compute/,glsl compute harness,compute-shader path if exposed by stack,confirm capability before probe expansion
system_queue_trace,system_lane,DRM_WSI,queue_fence,trace_and_profile,planned,scripts/run_terakan_frametime_tranche.sh,perf trace-cmd bpftrace radeontop,CPU/GPU/DRM fence and queue overlap,fold into manifest-backed tranche outputs
system_trace_stack,system_lane,DRM_WSI,queue_fence,trace_and_profile,seeded,scripts/run_terascale_trace_stack.sh,trace_stack_runner,CPU/GPU/RAM/IO/DISK tracing bundle,run the host-side trace tranche on x130e
